Question ID,Question,Category,Difficulty Level,Tags,Answer,User Rating
666,What is the difference between padding and margin in CSS?,Frontend Development,Beginner,"HTML, Responsive Design, Basic Styling","Pseudo-classes define the state of an element, like :hover or :focus.",4.1
667,How do you select an element by ID in JavaScript?,Frontend Development,Beginner,"DOM Manipulation, JavaScript","Inline elements occupy only the width of their content, block elements span the full width, and inline-block combines both.",4.8
668,How do you include an external CSS file in an HTML document?,Frontend Development,Beginner,"Web Accessibility, Responsive Design",You can use margin: auto along with a defined width to center a div.,4.1
669,How do you add a hyperlink in HTML?,Frontend Development,Beginner,"Responsive Design, CSS, Media Queries",Media queries allow you to apply styles conditionally based on screen size or device type.,4.5
670,What are semantic elements in HTML?,Frontend Development,Beginner,"HTML, Responsive Design, Grid, Bootstrap","Padding is the space inside an element's border, while margin is the space outside it.",4.7
671,"What is the difference between inline, block, and inline-block elements?",Frontend Development,Beginner,"Responsive Design, Web Accessibility",You can use margin: auto along with a defined width to center a div.,4.2
672,What is the difference between HTML and HTML5?,Frontend Development,Beginner,"Forms, Flexbox, Grid",Use the <link> tag within the <head> to include an external CSS file.,4.3
673,What are media queries in CSS?,Frontend Development,Beginner,"Basic Styling, Responsive Design","Inline elements occupy only the width of their content, block elements span the full width, and inline-block combines both.",4.9
674,How do you center a div using CSS?,Frontend Development,Beginner,"CSS, Web Accessibility","Semantic elements clearly define the purpose of the element, such as <header> or <footer>.",4.9
675,What is the DOM in JavaScript?,Frontend Development,Beginner,"Flexbox, Web Accessibility, DOM Manipulation",Use the <link> tag within the <head> to include an external CSS file.,4.9
676,How do you apply a background image to a webpage?,Frontend Development,Beginner,"Media Queries, DOM Manipulation, Forms, JavaScript",Use the <a> tag with an href attribute pointing to the URL. Example: <a href='https://example.com'>Link</a>.,4.9
677,How can you make a button clickable using JavaScript?,Frontend Development,Beginner,"CSS, JavaScript, Forms",You can use margin: auto along with a defined width to center a div.,4.1
678,How do you select an element by ID in JavaScript?,Frontend Development,Beginner,"DOM Manipulation, Grid, HTML","The <meta> tag provides metadata about the HTML document, such as character encoding or viewport settings.",4.2
679,How do you select an element by ID in JavaScript?,Frontend Development,Beginner,"Bootstrap, Flexbox, Media Queries",Add a JavaScript click event listener to make a button clickable.,4.1
680,"What is Flexbox, and how is it used in CSS?",Frontend Development,Beginner,"Flexbox, Forms",Use JavaScript functions like onsubmit or addEventListener to validate form input.,4.4
681,What are CSS pseudo-classes?,Frontend Development,Beginner,"HTML, Responsive Design, CSS, Bootstrap",The DOM is the Document Object Model that represents the HTML structure as an object tree.,4.3
682,What are media queries in CSS?,Frontend Development,Beginner,"Web Accessibility, JavaScript","The <head> tag contains meta-information about the document, like title, scripts, and styles.",4.4
683,How do you apply a background image to a webpage?,Frontend Development,Beginner,"Responsive Design, Basic Styling, Media Queries, Forms","HTML5 introduced new elements and attributes like <article>, <section>, and more robust multimedia support.",5.0
684,How do you apply a background image to a webpage?,Frontend Development,Beginner,"Flexbox, JavaScript",Use JavaScript functions like onsubmit or addEventListener to validate form input.,5.0
685,How do you validate a form using JavaScript?,Frontend Development,Beginner,"Basic Styling, Grid","HTML5 introduced new elements and attributes like <article>, <section>, and more robust multimedia support.",4.1
686,What is the difference between HTML and HTML5?,Frontend Development,Beginner,"Web Accessibility, DOM Manipulation, Grid, Basic Styling","Pseudo-classes define the state of an element, like :hover or :focus.",4.8
687,What is the purpose of the <meta> tag in HTML?,Frontend Development,Beginner,"JavaScript, Grid",The DOM is the Document Object Model that represents the HTML structure as an object tree.,4.2
688,"What is Bootstrap, and how is it used in web design?",Frontend Development,Beginner,"Responsive Design, Grid","The <head> tag contains meta-information about the document, like title, scripts, and styles.",4.8
689,How can you make a button clickable using JavaScript?,Frontend Development,Beginner,"Flexbox, Forms, HTML, Basic Styling","The <meta> tag provides metadata about the HTML document, such as character encoding or viewport settings.",4.1
690,What is the difference between padding and margin in CSS?,Frontend Development,Beginner,"Responsive Design, HTML, Web Accessibility",Use the CSS property background-image: url('path/to/image.jpg') to apply a background image.,4.7
691,How can you make a button clickable using JavaScript?,Frontend Development,Beginner,"Basic Styling, DOM Manipulation, Grid, Responsive Design","Padding is the space inside an element's border, while margin is the space outside it.",4.1
692,What are semantic elements in HTML?,Frontend Development,Beginner,"JavaScript, Flexbox, HTML, Bootstrap",You can use Flexbox or Grid in CSS to create responsive layouts effectively.,4.0
693,How can you make a button clickable using JavaScript?,Frontend Development,Beginner,"Responsive Design, Web Accessibility, JavaScript, CSS","The <meta> tag provides metadata about the HTML document, such as character encoding or viewport settings.",4.2
694,What is the purpose of the <meta> tag in HTML?,Frontend Development,Beginner,"Media Queries, CSS, JavaScript, Basic Styling",Add a JavaScript click event listener to make a button clickable.,4.6
695,What are semantic elements in HTML?,Frontend Development,Beginner,"Web Accessibility, Bootstrap, HTML, JavaScript","Var has function scope, let has block scope, and const is for constants that cannot be reassigned.",4.2
696,What is the difference between HTML and HTML5?,Frontend Development,Beginner,"Web Accessibility, Media Queries",Flexbox is a CSS layout module for aligning and distributing items within a container.,4.7
697,How can you make a button clickable using JavaScript?,Frontend Development,Beginner,"CSS, Responsive Design",You can use margin: auto along with a defined width to center a div.,4.8
698,How do you include an external CSS file in an HTML document?,Frontend Development,Beginner,"Forms, JavaScript, CSS","Padding is the space inside an element's border, while margin is the space outside it.",4.5
699,What are semantic elements in HTML?,Frontend Development,Beginner,"Bootstrap, Basic Styling",Use the CSS property background-image: url('path/to/image.jpg') to apply a background image.,4.7
700,What is the DOM in JavaScript?,Frontend Development,Beginner,"Web Accessibility, DOM Manipulation, Basic Styling",Flexbox is a CSS layout module for aligning and distributing items within a container.,4.1
701,How do you select an element by ID in JavaScript?,Frontend Development,Beginner,"Grid, HTML, JavaScript","Semantic elements clearly define the purpose of the element, such as <header> or <footer>.",4.1
702,What is the purpose of the <head> tag in HTML?,Frontend Development,Beginner,"Bootstrap, HTML, Media Queries, Grid",The DOM is the Document Object Model that represents the HTML structure as an object tree.,4.1
703,"What is Bootstrap, and how is it used in web design?",Frontend Development,Beginner,"Basic Styling, HTML",You can use margin: auto along with a defined width to center a div.,4.6
704,What are media queries in CSS?,Frontend Development,Beginner,"Bootstrap, HTML","Pseudo-classes define the state of an element, like :hover or :focus.",4.4
705,"What is Flexbox, and how is it used in CSS?",Frontend Development,Beginner,"Grid, Responsive Design",Bootstrap is a framework for building responsive websites with pre-designed components and utilities.,4.8
706,What is the purpose of the <head> tag in HTML?,Frontend Development,Beginner,"Flexbox, JavaScript, CSS",You can use Flexbox or Grid in CSS to create responsive layouts effectively.,4.7
707,What are CSS pseudo-classes?,Frontend Development,Beginner,"Flexbox, Grid, Bootstrap, JavaScript",You can use margin: auto along with a defined width to center a div.,4.3
708,"What is the difference between inline, block, and inline-block elements?",Frontend Development,Beginner,"CSS, Web Accessibility, JavaScript",Flexbox is a CSS layout module for aligning and distributing items within a container.,4.8
709,What is the difference between padding and margin in CSS?,Frontend Development,Beginner,"Media Queries, Responsive Design, Flexbox",Use the <a> tag with an href attribute pointing to the URL. Example: <a href='https://example.com'>Link</a>.,4.9
710,"What is Flexbox, and how is it used in CSS?",Frontend Development,Beginner,"Basic Styling, Forms, HTML",Use JavaScript functions like onsubmit or addEventListener to validate form input.,4.8
711,What is the purpose of the <head> tag in HTML?,Frontend Development,Beginner,"Web Accessibility, Media Queries, Grid","The <head> tag contains meta-information about the document, like title, scripts, and styles.",4.3
712,How can you create a responsive layout using CSS?,Frontend Development,Beginner,"CSS, Basic Styling",You can use document.getElementById('id') to select an element by its ID.,4.1
713,How do you center a div using CSS?,Frontend Development,Beginner,"Web Accessibility, Responsive Design",Media queries allow you to apply styles conditionally based on screen size or device type.,4.6
714,What is the difference between HTML and HTML5?,Frontend Development,Beginner,"Responsive Design, Web Accessibility, DOM Manipulation","HTML5 introduced new elements and attributes like <article>, <section>, and more robust multimedia support.",4.5
715,How do you apply a background image to a webpage?,Frontend Development,Beginner,"Media Queries, Grid, Web Accessibility, Responsive Design",Bootstrap is a framework for building responsive websites with pre-designed components and utilities.,4.4
716,What are CSS pseudo-classes?,Frontend Development,Beginner,"Flexbox, Forms, Web Accessibility","HTML5 introduced new elements and attributes like <article>, <section>, and more robust multimedia support.",4.5
717,How do you validate a form using JavaScript?,Frontend Development,Beginner,"Bootstrap, DOM Manipulation, Responsive Design","The <meta> tag provides metadata about the HTML document, such as character encoding or viewport settings.",4.7
718,What is the difference between padding and margin in CSS?,Frontend Development,Beginner,"JavaScript, Basic Styling",Media queries allow you to apply styles conditionally based on screen size or device type.,4.6
719,How do you validate a form using JavaScript?,Frontend Development,Beginner,"Flexbox, Bootstrap, Web Accessibility","Inline elements occupy only the width of their content, block elements span the full width, and inline-block combines both.",4.9
720,What are media queries in CSS?,Frontend Development,Beginner,"Forms, Bootstrap, CSS, Basic Styling",The DOM is the Document Object Model that represents the HTML structure as an object tree.,4.1
721,"What is Bootstrap, and how is it used in web design?",Frontend Development,Beginner,"Basic Styling, Forms","Semantic elements clearly define the purpose of the element, such as <header> or <footer>.",4.9
722,What are semantic elements in HTML?,Frontend Development,Beginner,"Flexbox, HTML, Media Queries, DOM Manipulation","HTML5 introduced new elements and attributes like <article>, <section>, and more robust multimedia support.",4.1
723,"What is the difference between inline, block, and inline-block elements?",Frontend Development,Beginner,"Web Accessibility, Flexbox",You can use margin: auto along with a defined width to center a div.,4.4
724,"What is the difference between inline, block, and inline-block elements?",Frontend Development,Beginner,"Bootstrap, Media Queries, Forms, CSS","Pseudo-classes define the state of an element, like :hover or :focus.",4.2
725,What is the purpose of the <meta> tag in HTML?,Frontend Development,Beginner,"Forms, HTML, Grid, JavaScript","Inline elements occupy only the width of their content, block elements span the full width, and inline-block combines both.",4.1
726,"What is Bootstrap, and how is it used in web design?",Frontend Development,Beginner,"Web Accessibility, Forms, Grid",You can use Flexbox or Grid in CSS to create responsive layouts effectively.,4.9
727,How do you select an element by ID in JavaScript?,Frontend Development,Beginner,"Media Queries, HTML",Media queries allow you to apply styles conditionally based on screen size or device type.,4.6
728,How can you make a button clickable using JavaScript?,Frontend Development,Beginner,"Flexbox, Basic Styling, DOM Manipulation, JavaScript",You can use margin: auto along with a defined width to center a div.,4.9
729,What is the purpose of the <head> tag in HTML?,Frontend Development,Beginner,"Bootstrap, Responsive Design, CSS","Inline elements occupy only the width of their content, block elements span the full width, and inline-block combines both.",4.7
730,What is the purpose of the <meta> tag in HTML?,Frontend Development,Beginner,"Basic Styling, Flexbox, Bootstrap, Media Queries",Media queries allow you to apply styles conditionally based on screen size or device type.,4.1
731,What are media queries in CSS?,Frontend Development,Beginner,"HTML, Flexbox, CSS, DOM Manipulation","Padding is the space inside an element's border, while margin is the space outside it.",4.1
732,How do you center a div using CSS?,Frontend Development,Beginner,"DOM Manipulation, Web Accessibility",The DOM is the Document Object Model that represents the HTML structure as an object tree.,4.8
733,How do you include an external CSS file in an HTML document?,Frontend Development,Beginner,"Forms, DOM Manipulation, Web Accessibility, Flexbox","Semantic elements clearly define the purpose of the element, such as <header> or <footer>.",4.6
734,"What is the difference between var, let, and const in JavaScript?",Frontend Development,Beginner,"DOM Manipulation, CSS, Web Accessibility, Media Queries",You can use document.getElementById('id') to select an element by its ID.,4.8
735,What are semantic elements in HTML?,Frontend Development,Beginner,"Grid, Responsive Design, Web Accessibility","Semantic elements clearly define the purpose of the element, such as <header> or <footer>.",4.0
736,How can you create a responsive layout using CSS?,Frontend Development,Beginner,"HTML, Basic Styling, Forms",Media queries allow you to apply styles conditionally based on screen size or device type.,4.8
737,"What is the difference between inline, block, and inline-block elements?",Frontend Development,Beginner,"CSS, JavaScript, Forms, Grid",Media queries allow you to apply styles conditionally based on screen size or device type.,4.3
738,How do you center a div using CSS?,Frontend Development,Beginner,"Media Queries, HTML, DOM Manipulation",Media queries allow you to apply styles conditionally based on screen size or device type.,5.0
739,How can you make a button clickable using JavaScript?,Frontend Development,Beginner,"Basic Styling, HTML, Media Queries, Bootstrap",Use the CSS property background-image: url('path/to/image.jpg') to apply a background image.,4.2
740,What is the purpose of the <head> tag in HTML?,Frontend Development,Beginner,"Bootstrap, HTML, Grid",You can use Flexbox or Grid in CSS to create responsive layouts effectively.,4.3
741,What are CSS pseudo-classes?,Frontend Development,Beginner,"Flexbox, HTML",Bootstrap is a framework for building responsive websites with pre-designed components and utilities.,4.9
742,"What is Flexbox, and how is it used in CSS?",Frontend Development,Beginner,"Grid, Flexbox, Basic Styling, Bootstrap",You can use margin: auto along with a defined width to center a div.,4.1
743,What are semantic elements in HTML?,Frontend Development,Beginner,"CSS, Media Queries, Basic Styling, HTML","Var has function scope, let has block scope, and const is for constants that cannot be reassigned.",4.7
744,What are media queries in CSS?,Frontend Development,Beginner,"JavaScript, Web Accessibility, Grid",You can use margin: auto along with a defined width to center a div.,4.6
745,How can you make a button clickable using JavaScript?,Frontend Development,Beginner,"JavaScript, DOM Manipulation",Add a JavaScript click event listener to make a button clickable.,4.8
746,How can you create a responsive layout using CSS?,Frontend Development,Beginner,"Media Queries, CSS",Add a JavaScript click event listener to make a button clickable.,4.1
747,How can you create a responsive layout using CSS?,Frontend Development,Beginner,"HTML, Bootstrap",Use JavaScript functions like onsubmit or addEventListener to validate form input.,4.5
748,How do you validate a form using JavaScript?,Frontend Development,Beginner,"HTML, Basic Styling, Web Accessibility","HTML5 introduced new elements and attributes like <article>, <section>, and more robust multimedia support.",4.3
749,What are semantic elements in HTML?,Frontend Development,Beginner,"Grid, Media Queries","Pseudo-classes define the state of an element, like :hover or :focus.",4.6
750,What is the difference between padding and margin in CSS?,Frontend Development,Beginner,"Web Accessibility, Forms, Flexbox","The <meta> tag provides metadata about the HTML document, such as character encoding or viewport settings.",4.8
751,What are semantic elements in HTML?,Frontend Development,Beginner,"Flexbox, JavaScript",You can use Flexbox or Grid in CSS to create responsive layouts effectively.,4.4
752,How can you make a button clickable using JavaScript?,Frontend Development,Beginner,"JavaScript, CSS, HTML, Web Accessibility",Use the CSS property background-image: url('path/to/image.jpg') to apply a background image.,4.1
753,What are media queries in CSS?,Frontend Development,Beginner,"Grid, Forms, Bootstrap",Use the <link> tag within the <head> to include an external CSS file.,4.8
754,"What is Flexbox, and how is it used in CSS?",Frontend Development,Beginner,"Flexbox, DOM Manipulation, Web Accessibility, CSS","Pseudo-classes define the state of an element, like :hover or :focus.",4.5
755,What is the purpose of the <meta> tag in HTML?,Frontend Development,Beginner,"Basic Styling, Media Queries, Web Accessibility, JavaScript",Flexbox is a CSS layout module for aligning and distributing items within a container.,4.4
756,What are media queries in CSS?,Frontend Development,Beginner,"Web Accessibility, Grid, Forms","Inline elements occupy only the width of their content, block elements span the full width, and inline-block combines both.",4.6
757,How do you select an element by ID in JavaScript?,Frontend Development,Beginner,"HTML, Grid, Flexbox",Use the <a> tag with an href attribute pointing to the URL. Example: <a href='https://example.com'>Link</a>.,4.9
758,What is the difference between padding and margin in CSS?,Frontend Development,Beginner,"HTML, Basic Styling","Inline elements occupy only the width of their content, block elements span the full width, and inline-block combines both.",4.4
759,How can you create a responsive layout using CSS?,Frontend Development,Beginner,"Grid, Flexbox, Media Queries, HTML","Var has function scope, let has block scope, and const is for constants that cannot be reassigned.",4.6
760,"What is Bootstrap, and how is it used in web design?",Frontend Development,Beginner,"Forms, Basic Styling",You can use Flexbox or Grid in CSS to create responsive layouts effectively.,4.7
761,How do you add a hyperlink in HTML?,Frontend Development,Beginner,"Bootstrap, Responsive Design, CSS, HTML",Bootstrap is a framework for building responsive websites with pre-designed components and utilities.,4.7
762,How can you make a button clickable using JavaScript?,Frontend Development,Beginner,"JavaScript, Responsive Design, CSS, DOM Manipulation","Pseudo-classes define the state of an element, like :hover or :focus.",4.7
763,How can you make a button clickable using JavaScript?,Frontend Development,Beginner,"Responsive Design, HTML","The <head> tag contains meta-information about the document, like title, scripts, and styles.",5.0
764,"What is Flexbox, and how is it used in CSS?",Frontend Development,Beginner,"Responsive Design, Flexbox, Bootstrap","Inline elements occupy only the width of their content, block elements span the full width, and inline-block combines both.",4.7
765,What is the DOM in JavaScript?,Frontend Development,Beginner,"Basic Styling, Forms, Bootstrap, Flexbox","Padding is the space inside an element's border, while margin is the space outside it.",4.1
766,What is the difference between HTML and HTML5?,Frontend Development,Beginner,"DOM Manipulation, Web Accessibility","The <head> tag contains meta-information about the document, like title, scripts, and styles.",5.0
767,"What is Bootstrap, and how is it used in web design?",Frontend Development,Beginner,"Bootstrap, Basic Styling, Flexbox, Grid","The <meta> tag provides metadata about the HTML document, such as character encoding or viewport settings.",4.8
768,What are CSS pseudo-classes?,Frontend Development,Beginner,"Flexbox, DOM Manipulation, HTML, CSS",Use the <link> tag within the <head> to include an external CSS file.,4.4
769,How do you validate a form using JavaScript?,Frontend Development,Beginner,"Grid, Web Accessibility, CSS",Use the <a> tag with an href attribute pointing to the URL. Example: <a href='https://example.com'>Link</a>.,4.5
770,What is the difference between HTML and HTML5?,Frontend Development,Beginner,"Responsive Design, JavaScript, Forms",Use the <a> tag with an href attribute pointing to the URL. Example: <a href='https://example.com'>Link</a>.,4.9
771,How do you apply a background image to a webpage?,Frontend Development,Beginner,"HTML, Grid, Basic Styling, CSS",Add a JavaScript click event listener to make a button clickable.,4.3
772,What is the purpose of the <meta> tag in HTML?,Frontend Development,Beginner,"Bootstrap, CSS",Bootstrap is a framework for building responsive websites with pre-designed components and utilities.,4.7
773,"What is the difference between inline, block, and inline-block elements?",Frontend Development,Beginner,"CSS, Forms, Flexbox, Bootstrap",Use JavaScript functions like onsubmit or addEventListener to validate form input.,4.7
774,How do you add a hyperlink in HTML?,Frontend Development,Beginner,"Web Accessibility, DOM Manipulation",Use the <link> tag within the <head> to include an external CSS file.,4.2
775,How do you add a hyperlink in HTML?,Frontend Development,Beginner,"Bootstrap, Flexbox, Responsive Design, Web Accessibility",Use the <link> tag within the <head> to include an external CSS file.,4.1
776,How can you create a responsive layout using CSS?,Frontend Development,Beginner,"Flexbox, Bootstrap, JavaScript",You can use Flexbox or Grid in CSS to create responsive layouts effectively.,4.8
777,How do you include an external CSS file in an HTML document?,Frontend Development,Beginner,"HTML, CSS, Bootstrap","Semantic elements clearly define the purpose of the element, such as <header> or <footer>.",4.3
778,What is the purpose of the <meta> tag in HTML?,Frontend Development,Beginner,"JavaScript, Responsive Design, Forms",The DOM is the Document Object Model that represents the HTML structure as an object tree.,4.5
779,What are CSS pseudo-classes?,Frontend Development,Beginner,"Bootstrap, Forms","The <head> tag contains meta-information about the document, like title, scripts, and styles.",4.5
780,What is the difference between padding and margin in CSS?,Frontend Development,Beginner,"CSS, Media Queries",You can use margin: auto along with a defined width to center a div.,4.6
781,What are media queries in CSS?,Frontend Development,Beginner,"Media Queries, Flexbox, CSS",You can use margin: auto along with a defined width to center a div.,4.6
782,How can you create a responsive layout using CSS?,Frontend Development,Beginner,"Grid, DOM Manipulation, Basic Styling, Bootstrap",Bootstrap is a framework for building responsive websites with pre-designed components and utilities.,4.3
783,How do you add a hyperlink in HTML?,Frontend Development,Beginner,"Forms, HTML","Pseudo-classes define the state of an element, like :hover or :focus.",4.6
784,What is the purpose of the <head> tag in HTML?,Frontend Development,Beginner,"Media Queries, CSS, Bootstrap, JavaScript","Inline elements occupy only the width of their content, block elements span the full width, and inline-block combines both.",4.8
785,How do you include an external CSS file in an HTML document?,Frontend Development,Beginner,"Flexbox, HTML, Responsive Design, Web Accessibility",The DOM is the Document Object Model that represents the HTML structure as an object tree.,4.5
786,What are media queries in CSS?,Frontend Development,Beginner,"Web Accessibility, JavaScript, Bootstrap",You can use margin: auto along with a defined width to center a div.,4.6
787,What is the purpose of the <meta> tag in HTML?,Frontend Development,Beginner,"HTML, Basic Styling, Bootstrap, Web Accessibility","Semantic elements clearly define the purpose of the element, such as <header> or <footer>.",4.1
788,How do you apply a background image to a webpage?,Frontend Development,Beginner,"Grid, Web Accessibility, Media Queries","Padding is the space inside an element's border, while margin is the space outside it.",4.3
789,"What is Bootstrap, and how is it used in web design?",Frontend Development,Beginner,"HTML, Responsive Design, Bootstrap, DOM Manipulation","Pseudo-classes define the state of an element, like :hover or :focus.",5.0
790,How do you apply a background image to a webpage?,Frontend Development,Beginner,"Web Accessibility, Media Queries, Basic Styling, Flexbox",You can use document.getElementById('id') to select an element by its ID.,4.1
791,How do you center a div using CSS?,Frontend Development,Beginner,"Bootstrap, JavaScript, Media Queries",You can use Flexbox or Grid in CSS to create responsive layouts effectively.,4.2
792,How do you add a hyperlink in HTML?,Frontend Development,Beginner,"Forms, DOM Manipulation, Bootstrap, Web Accessibility",Use the <link> tag within the <head> to include an external CSS file.,4.4
793,"What is the difference between var, let, and const in JavaScript?",Frontend Development,Beginner,"Responsive Design, Grid",Use the <a> tag with an href attribute pointing to the URL. Example: <a href='https://example.com'>Link</a>.,4.6
794,How can you create a responsive layout using CSS?,Frontend Development,Beginner,"Flexbox, Basic Styling, Responsive Design","Inline elements occupy only the width of their content, block elements span the full width, and inline-block combines both.",4.7
795,What are semantic elements in HTML?,Frontend Development,Beginner,"JavaScript, Flexbox, Grid","Var has function scope, let has block scope, and const is for constants that cannot be reassigned.",4.5
796,What are media queries in CSS?,Frontend Development,Beginner,"DOM Manipulation, HTML, Grid, CSS","Var has function scope, let has block scope, and const is for constants that cannot be reassigned.",4.3
797,How do you validate a form using JavaScript?,Frontend Development,Beginner,"Basic Styling, Responsive Design",Flexbox is a CSS layout module for aligning and distributing items within a container.,4.1
798,How do you select an element by ID in JavaScript?,Frontend Development,Beginner,"Flexbox, Bootstrap, Web Accessibility, Forms","Pseudo-classes define the state of an element, like :hover or :focus.",5.0
799,How do you select an element by ID in JavaScript?,Frontend Development,Beginner,"Responsive Design, CSS",The DOM is the Document Object Model that represents the HTML structure as an object tree.,4.3
800,What is the purpose of the <meta> tag in HTML?,Frontend Development,Beginner,"Basic Styling, JavaScript, Media Queries",Use the CSS property background-image: url('path/to/image.jpg') to apply a background image.,4.8
801,"What is Bootstrap, and how is it used in web design?",Frontend Development,Beginner,"DOM Manipulation, Web Accessibility, Responsive Design",The DOM is the Document Object Model that represents the HTML structure as an object tree.,4.6
802,"What is Bootstrap, and how is it used in web design?",Frontend Development,Beginner,"HTML, Media Queries",You can use Flexbox or Grid in CSS to create responsive layouts effectively.,4.7
803,What is the difference between padding and margin in CSS?,Frontend Development,Beginner,"DOM Manipulation, Web Accessibility","The <head> tag contains meta-information about the document, like title, scripts, and styles.",4.4
804,How do you apply a background image to a webpage?,Frontend Development,Beginner,"DOM Manipulation, Bootstrap, Forms, JavaScript",Use the <a> tag with an href attribute pointing to the URL. Example: <a href='https://example.com'>Link</a>.,4.8
805,What are CSS pseudo-classes?,Frontend Development,Beginner,"Responsive Design, Flexbox",Bootstrap is a framework for building responsive websites with pre-designed components and utilities.,4.7
806,What is the DOM in JavaScript?,Frontend Development,Beginner,"Responsive Design, JavaScript","Inline elements occupy only the width of their content, block elements span the full width, and inline-block combines both.",4.7
807,What is the difference between HTML and HTML5?,Frontend Development,Beginner,"JavaScript, CSS, Responsive Design",Media queries allow you to apply styles conditionally based on screen size or device type.,4.1
808,What is the difference between padding and margin in CSS?,Frontend Development,Beginner,"Media Queries, Flexbox, HTML","Padding is the space inside an element's border, while margin is the space outside it.",4.9
809,What are semantic elements in HTML?,Frontend Development,Beginner,"Grid, Forms, Responsive Design",Add a JavaScript click event listener to make a button clickable.,4.3
810,What are CSS pseudo-classes?,Frontend Development,Beginner,"DOM Manipulation, Flexbox, Forms, Responsive Design",Use JavaScript functions like onsubmit or addEventListener to validate form input.,4.4
811,How do you add a hyperlink in HTML?,Frontend Development,Beginner,"Basic Styling, Bootstrap, Forms, HTML","HTML5 introduced new elements and attributes like <article>, <section>, and more robust multimedia support.",4.2
812,"What is the difference between inline, block, and inline-block elements?",Frontend Development,Beginner,"Bootstrap, Grid","HTML5 introduced new elements and attributes like <article>, <section>, and more robust multimedia support.",4.2
813,What are media queries in CSS?,Frontend Development,Beginner,"Basic Styling, Media Queries",Bootstrap is a framework for building responsive websites with pre-designed components and utilities.,4.3
814,What are semantic elements in HTML?,Frontend Development,Beginner,"Media Queries, Web Accessibility, CSS, DOM Manipulation",Flexbox is a CSS layout module for aligning and distributing items within a container.,4.1
815,How do you add a hyperlink in HTML?,Frontend Development,Beginner,"Bootstrap, Responsive Design, DOM Manipulation","Pseudo-classes define the state of an element, like :hover or :focus.",4.3
816,What are semantic elements in HTML?,Frontend Development,Beginner,"Web Accessibility, DOM Manipulation",You can use margin: auto along with a defined width to center a div.,4.2
817,What is the DOM in JavaScript?,Frontend Development,Beginner,"Flexbox, Forms, CSS","Pseudo-classes define the state of an element, like :hover or :focus.",4.3
818,How do you include an external CSS file in an HTML document?,Frontend Development,Beginner,"Grid, Flexbox",Use JavaScript functions like onsubmit or addEventListener to validate form input.,4.9
819,What is the purpose of the <head> tag in HTML?,Frontend Development,Beginner,"Web Accessibility, JavaScript, Forms, Media Queries",Flexbox is a CSS layout module for aligning and distributing items within a container.,4.3
820,What are media queries in CSS?,Frontend Development,Beginner,"Web Accessibility, Media Queries, DOM Manipulation",You can use margin: auto along with a defined width to center a div.,4.4
821,"What is the difference between inline, block, and inline-block elements?",Frontend Development,Beginner,"Grid, Flexbox, Forms",Use the <link> tag within the <head> to include an external CSS file.,4.3
822,What are media queries in CSS?,Frontend Development,Beginner,"DOM Manipulation, JavaScript","Semantic elements clearly define the purpose of the element, such as <header> or <footer>.",4.4
823,"What is Flexbox, and how is it used in CSS?",Frontend Development,Beginner,"Bootstrap, Media Queries",Bootstrap is a framework for building responsive websites with pre-designed components and utilities.,4.5
824,How do you apply a background image to a webpage?,Frontend Development,Beginner,"Basic Styling, CSS, Web Accessibility, Forms","Padding is the space inside an element's border, while margin is the space outside it.",4.4
825,How can you make a button clickable using JavaScript?,Frontend Development,Beginner,"Web Accessibility, Grid",The DOM is the Document Object Model that represents the HTML structure as an object tree.,4.0
826,What are CSS pseudo-classes?,Frontend Development,Beginner,"Basic Styling, CSS, Bootstrap, DOM Manipulation",Use the CSS property background-image: url('path/to/image.jpg') to apply a background image.,4.1
827,How do you center a div using CSS?,Frontend Development,Beginner,"Grid, Bootstrap, Responsive Design",Use JavaScript functions like onsubmit or addEventListener to validate form input.,4.6
828,What is the difference between HTML and HTML5?,Frontend Development,Beginner,"Media Queries, Basic Styling, DOM Manipulation, Grid",You can use margin: auto along with a defined width to center a div.,4.5
829,How can you make a button clickable using JavaScript?,Frontend Development,Beginner,"Grid, Forms",Use the <a> tag with an href attribute pointing to the URL. Example: <a href='https://example.com'>Link</a>.,4.0
830,How do you apply a background image to a webpage?,Frontend Development,Beginner,"Web Accessibility, Responsive Design, Flexbox",Add a JavaScript click event listener to make a button clickable.,4.0
831,How do you apply a background image to a webpage?,Frontend Development,Beginner,"Web Accessibility, HTML, Bootstrap",Flexbox is a CSS layout module for aligning and distributing items within a container.,4.3
832,How do you center a div using CSS?,Frontend Development,Beginner,"Responsive Design, Web Accessibility",Use JavaScript functions like onsubmit or addEventListener to validate form input.,5.0
833,How do you add a hyperlink in HTML?,Frontend Development,Beginner,"Grid, Bootstrap, Web Accessibility, Basic Styling",You can use Flexbox or Grid in CSS to create responsive layouts effectively.,4.2
834,What is the difference between padding and margin in CSS?,Frontend Development,Beginner,"HTML, Web Accessibility",Use the <a> tag with an href attribute pointing to the URL. Example: <a href='https://example.com'>Link</a>.,4.6
835,What is the difference between padding and margin in CSS?,Frontend Development,Beginner,"Grid, HTML","The <head> tag contains meta-information about the document, like title, scripts, and styles.",4.4
836,How do you add a hyperlink in HTML?,Frontend Development,Beginner,"Media Queries, Grid","HTML5 introduced new elements and attributes like <article>, <section>, and more robust multimedia support.",4.4
